Date	End Time	Wind Speed	Vestas 126 3.3MW Power Output	Vestas 126 3.3MW Operating Status	GAMESA 114 2.5MW Power Output	GAMESA 114 2.5MW Operating Status	Grid Purchases	Grid Sales	Total Electrical Load Served	Renewable Penetration	Excess Electrical Production	Capacity Shortage	Total Renewable Power Output	Inverter Power Input	Inverter Power Output	Rectifier Power Input	Rectifier Power Output	GS200 z20 Maximum Charge Power	GS200 z20 Maximum Discharge Power	GS200 z20 Charge Power	GS200 z20 Discharge Power	GS200 z20 Input Power	GS200 z20 Energy Content	GS200 z20 State of Charge	GS200 z20 Energy Cost	AC Required Operating Capacity	DC Required Operating Capacity	AC Operating Capacity	DC Operating Capacity	Battery Delta Q	Cost Per Hour
		m/s	kW	status	kW	status	kW	kW	kW	%	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	kW	kWh	%	$/kWh	kW	kW	kW	kW	?	$
Jan 1	1:00	6.014	7642.170	0.000	11394.355	0.000	0.000	19036.525	19036.525	100.000	0.000	0.000	19036.525	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	9518.263	0.000	19046.525	1423.025	0.000	-1903.653
Jan 1	2:00	5.208	4923.124	0.000	8746.447	0.000	0.000	13669.571	13669.571	100.000	0.000	0.000	13669.571	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	6834.786	0.000	13679.571	1423.025	0.000	-1366.957
Jan 1	3:00	4.735	3658.328	0.000	7456.432	0.000	0.000	11114.760	11114.760	100.000	0.000	0.000	11114.760	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	5557.380	0.000	11124.760	1423.025	0.000	-1111.476
Jan 1	4:00	1.592	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	5:00	2.212	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	6:00	2.398	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	7:00	2.174	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	8:00	3.585	1402.059	0.000	3041.818	0.000	0.000	4443.876	4443.876	100.000	0.000	0.000	4443.876	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	2221.938	0.000	4453.876	1423.025	0.000	-444.388
Jan 1	9:00	3.540	1310.105	0.000	2833.662	0.000	0.000	4143.767	4143.767	100.000	0.000	0.000	4143.767	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	2071.884	0.000	4153.767	1423.025	0.000	-414.377
Jan 1	10:00	3.147	497.032	0.000	993.093	0.000	0.000	1490.125	1490.125	100.000	0.000	0.000	1490.125	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	745.063	0.000	1500.125	1423.025	0.000	-149.012
Jan 1	11:00	4.953	4185.851	0.000	8150.384	0.000	0.000	12336.234	12336.234	100.000	0.000	0.000	12336.234	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	6168.117	0.000	12346.234	1423.025	0.000	-1233.623
Jan 1	12:00	2.508	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	13:00	2.118	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	14:00	3.324	862.854	0.000	1821.211	0.000	0.000	2684.065	2684.065	100.000	0.000	0.000	2684.065	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	1342.033	0.000	2694.065	1423.025	0.000	-268.407
Jan 1	15:00	2.569	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	0.000	0.000	10.000	1423.025	0.000	0.000
Jan 1	16:00	5.660	6229.304	0.000	9802.455	0.000	0.000	16031.760	16031.760	100.000	0.000	0.000	16031.760	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	8015.880	0.000	16041.760	1423.025	0.000	-1603.176
Jan 1	17:00	6.735	11115.999	0.000	16870.906	0.000	0.000	27986.906	27986.906	100.000	0.000	0.000	27986.906	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	13993.453	0.000	27996.906	1423.025	0.000	-2798.691
Jan 1	18:00	6.512	10043.355	0.000	15179.863	0.000	0.000	25223.219	25223.219	100.000	0.000	0.000	25223.219	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	12611.609	0.000	25233.219	1423.025	0.000	-2522.322
Jan 1	19:00	4.087	2410.764	0.000	5187.040	0.000	0.000	7597.804	7597.804	100.000	0.000	0.000	7597.804	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	3798.902	0.000	7607.804	1423.025	0.000	-759.780
Jan 1	20:00	6.553	10237.817	0.000	15486.438	0.000	0.000	25724.254	25724.254	100.000	0.000	0.000	25724.254	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	12862.127	0.000	25734.254	1423.025	0.000	-2572.426
Jan 1	21:00	8.022	17883.926	0.000	22185.848	0.000	0.000	40069.773	40069.773	100.000	0.000	0.000	40069.773	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	20034.887	0.000	40079.773	1423.025	0.000	-4006.977
Jan 1	22:00	6.764	11257.373	0.000	17093.787	0.000	0.000	28351.160	28351.160	100.000	0.000	0.000	28351.160	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	14175.580	0.000	28361.160	1423.025	0.000	-2835.116
Jan 1	23:00	4.202	2632.560	0.000	5590.500	0.000	0.000	8223.061	8223.061	100.000	0.000	0.000	8223.061	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	4111.530	0.000	8233.061	1423.025	0.000	-822.306
Jan 2	0:00	4.934	4130.039	0.000	8105.262	0.000	0.000	12235.301	12235.301	100.000	0.000	0.000	12235.301	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	6117.650	0.000	12245.301	1423.025	0.000	-1223.530
Jan 2	1:00	5.572	5974.213	0.000	9596.223	0.000	0.000	15570.436	15570.436	100.000	0.000	0.000	15570.436	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	7785.218	0.000	15580.436	1423.025	0.000	-1557.044
Jan 2	2:00	5.286	5146.491	0.000	8927.034	0.000	0.000	14073.525	14073.525	100.000	0.000	0.000	14073.525	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	7036.763	0.000	14083.525	1423.025	0.000	-1407.353
Jan 2	3:00	6.447	9728.927	0.000	14684.160	0.000	0.000	24413.086	24413.086	100.000	0.000	0.000	24413.086	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	12206.543	0.000	24423.086	1423.025	0.000	-2441.309
Jan 2	4:00	3.580	1392.110	0.000	3019.297	0.000	0.000	4411.407	4411.407	100.000	0.000	0.000	4411.407	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	2205.704	0.000	4421.407	1423.025	0.000	-441.141
Jan 2	5:00	5.252	5049.486	0.000	8848.607	0.000	0.000	13898.094	13898.094	100.000	0.000	0.000	13898.094	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	6949.047	0.000	13908.094	1423.025	0.000	-1389.809
Jan 2	6:00	8.874	23961.180	0.000	24341.898	0.000	0.000	48303.078	48303.078	100.000	0.000	0.000	48303.078	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	24151.539	0.000	48313.078	1423.025	0.000	-4830.308
Jan 2	7:00	6.036	7746.845	0.000	11559.376	0.000	0.000	19306.221	19306.221	100.000	0.000	0.000	19306.221	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	9653.110	0.000	19316.221	1423.025	0.000	-1930.622
Jan 2	8:00	7.666	15606.088	0.000	21075.746	0.000	0.000	36681.836	36681.836	100.000	0.000	0.000	36681.836	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	18340.918	0.000	36691.836	1423.025	0.000	-3668.184
Jan 2	9:00	6.445	9718.498	0.000	14667.723	0.000	0.000	24386.221	24386.221	100.000	0.000	0.000	24386.221	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	12193.110	0.000	24396.221	1423.025	0.000	-2438.622
Jan 2	10:00	5.126	4684.449	0.000	8553.485	0.000	0.000	13237.935	13237.935	100.000	0.000	0.000	13237.935	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	6618.967	0.000	13247.935	1423.025	0.000	-1323.793
Jan 2	11:00	7.240	13551.320	0.000	19331.465	0.000	0.000	32882.785	32882.785	100.000	0.000	0.000	32882.785	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	16441.393	0.000	32892.785	1423.025	0.000	-3288.279
Jan 2	12:00	7.977	17574.396	0.000	22080.744	0.000	0.000	39655.141	39655.141	100.000	0.000	0.000	39655.141	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	19827.570	0.000	39665.141	1423.025	0.000	-3965.514
Jan 2	13:00	6.441	9700.116	0.000	14638.743	0.000	0.000	24338.859	24338.859	100.000	0.000	0.000	24338.859	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	12169.430	0.000	24348.859	1423.025	0.000	-2433.886
Jan 2	14:00	7.033	12551.759	0.000	18482.945	0.000	0.000	31034.703	31034.703	100.000	0.000	0.000	31034.703	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	15517.352	0.000	31044.703	1423.025	0.000	-3103.470
Jan 2	15:00	7.903	17060.115	0.000	21906.117	0.000	0.000	38966.234	38966.234	100.000	0.000	0.000	38966.234	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	19483.117	0.000	38976.234	1423.025	0.000	-3896.624
Jan 2	16:00	6.617	10550.382	0.000	15979.199	0.000	0.000	26529.582	26529.582	100.000	0.000	0.000	26529.582	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	13264.791	0.000	26539.582	1423.025	0.000	-2652.958
Jan 2	17:00	6.721	11051.265	0.000	16768.852	0.000	0.000	27820.117	27820.117	100.000	0.000	0.000	27820.117	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	13910.059	0.000	27830.117	1423.025	0.000	-2782.012
Jan 2	18:00	3.663	1562.905	0.000	3405.930	0.000	0.000	4968.835	4968.835	100.000	0.000	0.000	4968.835	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	2484.418	0.000	4978.835	1423.025	0.000	-496.884
Jan 2	19:00	4.146	2524.384	0.000	5393.723	0.000	0.000	7918.107	7918.107	100.000	0.000	0.000	7918.107	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	3959.054	0.000	7928.107	1423.025	0.000	-791.811
Jan 2	20:00	3.253	715.511	0.000	1487.669	0.000	0.000	2203.180	2203.180	100.000	0.000	0.000	2203.180	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	1101.590	0.000	2213.180	1423.025	0.000	-220.318
Jan 2	21:00	5.031	4409.564	0.000	8331.250	0.000	0.000	12740.814	12740.814	100.000	0.000	0.000	12740.814	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	6370.407	0.000	12750.814	1423.025	0.000	-1274.081
Jan 2	22:00	3.620	1474.827	0.000	3206.545	0.000	0.000	4681.372	4681.372	100.000	0.000	0.000	4681.372	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	2340.686	0.000	4691.372	1423.025	0.000	-468.137
Jan 2	23:00	2.956	102.688	0.000	100.411	0.000	0.000	203.100	203.100	100.000	0.000	0.000	203.100	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	101.550	0.000	213.100	1423.025	0.000	-20.310
Jan 3	0:00	4.344	2904.922	0.000	6085.941	0.000	0.000	8990.863	8990.863	100.000	0.000	0.000	8990.863	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	4495.432	0.000	9000.863	1423.025	0.000	-899.086
Jan 3	1:00	4.539	3281.978	0.000	6771.831	0.000	0.000	10053.809	10053.809	100.000	0.000	0.000	10053.809	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	5026.904	0.000	10063.809	1423.025	0.000	-1005.381
Jan 3	2:00	4.660	3515.035	0.000	7195.775	0.000	0.000	10710.811	10710.811	100.000	0.000	0.000	10710.811	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	5355.405	0.000	10720.811	1423.025	0.000	-1071.081
Jan 3	3:00	3.865	1981.195	0.000	4352.819	0.000	0.000	6334.015	6334.015	100.000	0.000	0.000	6334.015	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	3167.007	0.000	6344.015	1423.025	0.000	-633.401
Jan 3	4:00	5.482	5713.268	0.000	9385.256	0.000	0.000	15098.523	15098.523	100.000	0.000	0.000	15098.523	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	7549.262	0.000	15108.523	1423.025	0.000	-1509.852
Jan 3	5:00	6.425	9624.058	0.000	14518.834	0.000	0.000	24142.891	24142.891	100.000	0.000	0.000	24142.891	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	12071.445	0.000	24152.891	1423.025	0.000	-2414.289
Jan 3	6:00	7.706	15795.531	0.000	21236.564	0.000	0.000	37032.094	37032.094	100.000	0.000	0.000	37032.094	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	18516.047	0.000	37042.094	1423.025	0.000	-3703.209
Jan 3	7:00	4.852	3893.895	0.000	7869.573	0.000	0.000	11763.468	11763.468	100.000	0.000	0.000	11763.468	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	5881.734	0.000	11773.468	1423.025	0.000	-1176.347
Jan 3	8:00	5.627	6133.437	0.000	9724.949	0.000	0.000	15858.387	15858.387	100.000	0.000	0.000	15858.387	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	7929.193	0.000	15868.387	1423.025	0.000	-1585.839
Jan 3	9:00	8.298	19783.297	0.000	22830.793	0.000	0.000	42614.090	42614.090	100.000	0.000	0.000	42614.090	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	21307.045	0.000	42624.090	1423.025	0.000	-4261.409
Jan 3	10:00	10.617	38361.273	0.000	28585.330	0.000	0.000	66946.602	66946.602	100.000	0.000	0.000	66946.602	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	33473.301	0.000	66956.602	1423.025	0.000	-6694.660
Jan 3	11:00	9.062	25519.912	0.000	25224.031	0.000	0.000	50743.945	50743.945	100.000	0.000	0.000	50743.945	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	25371.973	0.000	50753.945	1423.025	0.000	-5074.395
Jan 3	12:00	6.465	9817.254	0.000	14823.410	0.000	0.000	24640.664	24640.664	100.000	0.000	0.000	24640.664	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	12320.332	0.000	24650.664	1423.025	0.000	-2464.066
Jan 3	13:00	8.334	20033.771	0.000	22915.844	0.000	0.000	42949.617	42949.617	100.000	0.000	0.000	42949.617	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	21474.809	0.000	42959.617	1423.025	0.000	-4294.962
Jan 3	14:00	6.242	8740.695	0.000	13126.199	0.000	0.000	21866.895	21866.895	100.000	0.000	0.000	21866.895	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	10933.447	0.000	21876.895	1423.025	0.000	-2186.689
Jan 3	15:00	8.038	17989.570	0.000	22221.719	0.000	0.000	40211.289	40211.289	100.000	0.000	0.000	40211.289	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	20105.645	0.000	40221.289	1423.025	0.000	-4021.129
Jan 3	16:00	8.047	18051.842	0.000	22242.863	0.000	0.000	40294.703	40294.703	100.000	0.000	0.000	40294.703	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	20147.352	0.000	40304.703	1423.025	0.000	-4029.470
Jan 3	17:00	6.693	10912.467	0.000	16550.033	0.000	0.000	27462.500	27462.500	100.000	0.000	0.000	27462.500	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	13731.250	0.000	27472.500	1423.025	0.000	-2746.250
Jan 3	18:00	9.245	27029.832	0.000	26078.543	0.000	0.000	53108.375	53108.375	100.000	0.000	0.000	53108.375	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	26554.188	0.000	53118.375	1423.025	0.000	-5310.837
Jan 3	19:00	11.296	41329.625	0.000	28585.330	0.000	0.000	69914.953	69914.953	100.000	0.000	0.000	69914.953	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	34957.477	0.000	69924.953	1423.025	0.000	-6991.496
Jan 3	20:00	12.554	43967.172	0.000	28585.330	0.000	0.000	70000.000	70000.000	103.646	2552.500	0.000	72552.500	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	36276.250	0.000	72562.500	1423.025	0.000	0.000
Jan 3	21:00	10.180	34752.145	0.000	28585.330	0.000	0.000	63337.477	63337.477	100.000	0.000	0.000	63337.477	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	31668.738	0.000	63347.477	1423.025	0.000	-6333.748
Jan 3	22:00	10.403	36595.063	0.000	28585.330	0.000	0.000	65180.391	65180.391	100.000	0.000	0.000	65180.391	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	32590.195	0.000	65190.391	1423.025	0.000	-6518.039
Jan 3	23:00	9.990	33182.313	0.000	28585.330	0.000	0.000	61767.641	61767.641	100.000	0.000	0.000	61767.641	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	30883.820	0.000	61777.641	1423.025	0.000	-6176.764
Jan 4	0:00	5.903	7107.051	0.000	10550.728	0.000	0.000	17657.777	17657.777	100.000	0.000	0.000	17657.777	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	8828.889	0.000	17667.777	1423.025	0.000	-1765.778
Jan 4	1:00	4.252	2728.977	0.000	5765.888	0.000	0.000	8494.865	8494.865	100.000	0.000	0.000	8494.865	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	4247.433	0.000	8504.865	1423.025	0.000	-849.487
Jan 4	2:00	6.032	7727.621	0.000	11529.068	0.000	0.000	19256.689	19256.689	100.000	0.000	0.000	19256.689	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	9628.345	0.000	19266.689	1423.025	0.000	-1925.669
Jan 4	3:00	6.337	9198.158	0.000	13847.394	0.000	0.000	23045.551	23045.551	100.000	0.000	0.000	23045.551	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	11522.775	0.000	23055.551	1423.025	0.000	-2304.555
Jan 4	4:00	5.184	4851.613	0.000	8688.633	0.000	0.000	13540.246	13540.246	100.000	0.000	0.000	13540.246	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	6770.123	0.000	13550.246	1423.025	0.000	-1354.025
Jan 4	5:00	6.595	10443.233	0.000	15810.281	0.000	0.000	26253.516	26253.516	100.000	0.000	0.000	26253.516	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	13126.758	0.000	26263.516	1423.025	0.000	-2625.352
Jan 4	6:00	10.312	35843.148	0.000	28585.330	0.000	0.000	64428.477	64428.477	100.000	0.000	0.000	64428.477	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	32214.238	0.000	64438.477	1423.025	0.000	-6442.848
Jan 4	7:00	11.121	40605.965	0.000	28585.330	0.000	0.000	69191.297	69191.297	100.000	0.000	0.000	69191.297	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	34595.648	0.000	69201.297	1423.025	0.000	-6919.130
Jan 4	8:00	11.365	41613.305	0.000	28585.330	0.000	0.000	70000.000	70000.000	100.284	198.633	0.000	70198.633	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	35099.316	0.000	70208.633	1423.025	0.000	0.000
Jan 4	9:00	14.121	44021.406	0.000	28585.330	0.000	0.000	70000.000	70000.000	103.724	2606.734	0.000	72606.734	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	36303.367	0.000	72616.734	1423.025	0.000	0.000
Jan 4	10:00	15.798	44021.406	0.000	28585.330	0.000	0.000	70000.000	70000.000	103.724	2606.734	0.000	72606.734	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	36303.367	0.000	72616.734	1423.025	0.000	0.000
Jan 4	11:00	19.180	44021.406	0.000	28585.330	0.000	0.000	70000.000	70000.000	103.724	2606.734	0.000	72606.734	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	36303.367	0.000	72616.734	1423.025	0.000	0.000
Jan 4	12:00	15.692	44021.406	0.000	28585.330	0.000	0.000	70000.000	70000.000	103.724	2606.734	0.000	72606.734	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	36303.367	0.000	72616.734	1423.025	0.000	0.000
Jan 4	13:00	14.649	44021.406	0.000	28585.330	0.000	0.000	70000.000	70000.000	103.724	2606.734	0.000	72606.734	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	36303.367	0.000	72616.734	1423.025	0.000	0.000
Jan 4	14:00	15.974	44021.406	0.000	28585.330	0.000	0.000	70000.000	70000.000	103.724	2606.734	0.000	72606.734	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	36303.367	0.000	72616.734	1423.025	0.000	0.000
Jan 4	15:00	13.249	44021.406	0.000	28585.330	0.000	0.000	70000.000	70000.000	103.724	2606.734	0.000	72606.734	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	36303.367	0.000	72616.734	1423.025	0.000	0.000
Jan 4	16:00	12.829	44021.406	0.000	28585.330	0.000	0.000	70000.000	70000.000	103.724	2606.734	0.000	72606.734	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	36303.367	0.000	72616.734	1423.025	0.000	0.000
Jan 4	17:00	11.709	42804.109	0.000	28585.330	0.000	0.000	70000.000	70000.000	101.985	1389.438	0.000	71389.438	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	35694.719	0.000	71399.438	1423.025	0.000	0.000
Jan 4	18:00	12.960	44021.406	0.000	28585.330	0.000	0.000	70000.000	70000.000	103.724	2606.734	0.000	72606.734	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	36303.367	0.000	72616.734	1423.025	0.000	0.000
Jan 4	19:00	13.369	44021.406	0.000	28585.330	0.000	0.000	70000.000	70000.000	103.724	2606.734	0.000	72606.734	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	36303.367	0.000	72616.734	1423.025	0.000	0.000
Jan 4	20:00	9.468	28869.152	0.000	27119.465	0.000	0.000	55988.617	55988.617	100.000	0.000	0.000	55988.617	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	27994.309	0.000	55998.617	1423.025	0.000	-5598.862
Jan 4	21:00	8.538	21435.133	0.000	23391.686	0.000	0.000	44826.820	44826.820	100.000	0.000	0.000	44826.820	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	22413.410	0.000	44836.820	1423.025	0.000	-4482.682
Jan 4	22:00	7.508	14843.156	0.000	20428.098	0.000	0.000	35271.254	35271.254	100.000	0.000	0.000	35271.254	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	17635.627	0.000	35281.254	1423.025	0.000	-3527.125
Jan 4	23:00	6.478	9875.903	0.000	14915.875	0.000	0.000	24791.777	24791.777	100.000	0.000	0.000	24791.777	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	12395.889	0.000	24801.777	1423.025	0.000	-2479.178
Jan 5	0:00	3.043	281.911	0.000	506.121	0.000	0.000	788.031	788.031	100.000	0.000	0.000	788.031	0.000	0.000	0.000	0.000	0.000	1423.025	0.000	0.000	0.000	3000.000	100.000	0.000	394.016	0.000	798.031	1423.025	0.000	-78.803
